1024 58982
0 1 30
0 7 74
0 35 41
0 48 54
0 60 35
0 73 80
0 79 3
0 82 88
0 91 88
0 101 31
0 116 89
0 140 67
0 142 54
0 143 69
0 144 58
0 145 17
0 151 94
0 157 30
0 159 58
0 161 100
0 190 76
0 205 45
0 216 36
0 218 75
0 233 58
0 244 28
0 258 35
0 262 27
0 279 64
0 294 26
0 295 81
0 303 89
0 308 20
0 337 82
0 358 56
0 372 32
0 376 92
0 380 26
0 405 91
0 406 58
0 409 43
0 410 82
0 413 66
0 428 38
0 431 57
0 437 70
0 439 98
0 462 79
0 469 29
0 484 7
0 487 1
0 502 21
0 515 89
0 518 93
0 524 70
0 527 93
0 541 38
0 573 83
0 579 48
0 601 27
0 629 100
0 637 9
0 655 8
0 683 37
0 684 21
0 694 39
0 705 38
0 717 26
0 718 11
0 732 76
0 734 21
0 740 58
0 751 95
0 752 23
0 770 86
0 775 97
0 783 84
0 787 76
0 798 46
0 801 57
0 814 34
0 816 88
0 832 51
0 833 57
0 834 36
0 842 7
0 853 14
0 857 69
0 879 2
0 883 52
0 898 73
0 904 83
0 906 51
0 908 22
0 919 70
0 922 57
0 923 57
0 936 23
0 942 73
0 951 44
0 959 1
0 974 65
0 988 10
0 996 58
0 1002 91
0 1006 39
0 1012 68
0 1016 89
1 7 83
1 15 27
1 16 99
1 38 14
1 40 36
1 41 45
1 53 35
1 60 58
1 69 23
1 78 89
1 84 88
1 86 49
1 87 35
1 89 75
1 93 85
1 111 52
1 121 5
1 126 96
1 128 56
1 134 44
1 157 19
1 176 68
1 184 15
1 194 69
1 196 40
1 215 47
1 228 92
1 240 86
1 241 68
1 251 99
1 254 71
1 258 78
1 276 68
1 287 76
1 289 35
1 291 3
1 311 14
1 321 52
1 336 82
1 339 71
1 345 25
1 355 96
1 361 88
1 409 20
1 450 71
1 464 22
1 470 16
1 475 5
1 476 92
1 485 45
1 487 84
1 489 83
1 501 92
1 507 15
1 512 100
1 530 95
1 546 59
1 550 91
1 553 19
1 556 88
1 565 60
1 569 96
1 576 99
1 611 98
1 614 71
1 633 98
1 634 46
1 650 24
1 663 23
1 669 51
1 670 57
1 680 34
1 687 45
1 689 53
1 699 54
1 707 47
1 709 50
1 715 62
1 722 73
1 725 90
1 731 90
1 732 50
1 753 15
1 770 4
1 771 95
1 780 8
1 793 71
1 809 15
1 817 33
1 832 73
1 864 91
1 865 60
1 873 93
1 881 2
1 891 24
1 904 51
1 913 43
1 915 12
1 918 99
1 934 75
1 956 99
1 958 84
1 973 68
1 988 87
2 8 60
2 11 48
2 13 83
2 15 65
2 47 6
2 52 50
2 81 76
2 83 73
2 84 28
2 86 24
2 89 60
2 91 73
2 104 1
2 109 88
2 119 27
2 126 15
2 133 16
2 141 88
2 144 79
2 158 94
2 175 82
2 178 71
2 179 58
2 183 77
2 196 95
2 202 85
2 207 38
2 225 50
2 228 19
2 231 98
2 256 50
2 272 50
2 279 17
2 281 31
2 286 100
2 295 51
2 299 43
2 306 47
2 309 48
2 330 55
2 377 59
2 379 7
2 390 75
2 394 37
2 397 77
2 403 73
2 415 59
2 419 22
2 431 7
2 435 15
2 444 80
2 457 32
2 459 42
2 460 62
2 462 42
2 463 54
2 471 47
2 473 13
2 489 14
2 501 7
2 502 87
2 509 16
2 516 39
2 532 65
2 541 40
2 543 55
2 547 49
2 552 91
2 562 23
2 566 99
2 571 46
2 581 85
2 582 3
2 592 60
2 595 47
2 598 61
2 601 11
2 605 78
2 608 68
2 610 22
2 621 19
2 625 93
2 632 50
2 636 65
2 653 88
2 655 61
2 657 20
2 658 62
2 663 49
2 671 6
2 683 51
2 685 2
2 699 61
2 706 44
2 715 37
2 719 84
2 722 20
2 729 40
2 751 44
2 756 12
2 768 86
2 776 11
2 787 13
2 793 14
2 814 72
2 817 63
2 829 77
2 837 3
2 839 92
2 849 33
2 853 33
2 858 66
2 871 87
2 875 30
2 892 10
2 897 38
2 901 28
2 902 53
2 909 91
2 929 36
2 930 13
2 947 19
2 948 35
2 965 6
2 1010 11
3 20 99
3 22 52
3 36 92
3 43 85
3 52 35
3 69 67
3 75 75
3 77 26
3 78 61
3 79 46
3 81 85
3 98 27
3 106 90
3 114 28
3 125 16
3 131 65
3 135 35
3 158 9
3 160 62
3 186 39
3 187 84
3 195 11
3 215 23
3 241 51
3 249 98
3 262 63
3 270 47
3 281 88
3 291 86
3 299 1
3 315 2
3 332 56
3 337 30
3 343 13
3 346 79
3 349 98
3 357 100
3 358 46
3 361 37
3 387 96
3 392 49
3 401 31
3 408 100
3 415 69
3 420 36
3 425 65
3 427 93
3 437 58
3 440 14
3 453 11
3 470 65
3 475 16
3 479 20
3 482 99
3 485 43
3 498 10
3 519 69
3 520 80
3 522 13
3 526 54
3 549 72
3 576 77
3 582 44
3 583 23
3 610 21
3 615 31
3 617 92
3 624 74
3 629 97
3 639 52
3 640 39
3 643 68
3 644 3
3 646 60
3 652 39
3 655 15
3 659 35
3 661 67
3 664 33
3 681 57
3 682 13
3 692 32
3 703 33
3 706 64
3 716 51
3 730 85
3 732 37
3 741 73
3 744 24
3 746 85
3 756 61
3 762 22
3 771 53
3 773 48
3 781 84
3 786 46
3 789 59
3 797 87
3 801 32
3 807 41
3 808 5
3 810 60
3 816 27
3 826 89
3 832 91
3 840 40
3 857 83
3 862 22
3 878 71
3 888 72
3 895 38
3 896 11
3 901 46
3 919 84
3 935 69
3 936 45
3 945 30
3 966 49
3 1001 65
3 1012 99
3 1015 60
4 7 64
4 32 41
4 40 37
4 62 54
4 71 39
4 91 7
4 92 75
4 94 14
4 107 5
4 111 70
4 120 72
4 146 39
4 149 68
4 155 6
4 190 24
4 201 46
4 207 32
4 266 50
4 273 3
4 282 74
4 290 38
4 322 63
4 323 14
4 326 45
4 334 22
4 350 36
4 353 44
4 373 95
4 382 10
4 390 71
4 394 4
4 397 13
4 401 1
4 406 44
4 415 27
4 418 23
4 441 12
4 444 57
4 445 23
4 472 49
4 482 18
4 487 75
4 501 40
4 506 64
4 508 50
4 511 46
4 519 16
4 523 82
4 532 33
4 555 18
4 574 21
4 609 26
4 613 54
4 616 60
4 617 29
4 618 19
4 626 57
4 649 20
4 657 10
4 669 27
4 705 51
4 711 37
4 713 21
4 719 1
4 726 9
4 740 96
4 744 20
4 752 3
4 761 26
4 803 21
4 815 83
4 816 77
4 818 17
4 821 54
4 844 2
4 864 79
4 871 34
4 899 23
4 906 36
4 915 59
4 945 7
4 962 11
4 976 92
4 980 84
4 990 38
4 1000 1
4 1004 8
4 1009 46
4 1015 38
5 7 11
5 17 70
5 18 60
5 29 27
5 48 9
5 55 47
5 68 15
5 70 39
5 78 30
5 94 49
5 97 58
5 98 16
5 109 82
5 111 65
5 112 10
5 116 50
5 130 68
5 144 41
5 145 60
5 155 29
5 170 73
5 173 56
5 197 57
5 209 89
5 218 100
5 222 53
5 227 72
5 236 12
5 243 2
5 246 83
5 249 43
5 260 49
5 266 54
5 273 41
5 305 25
5 309 51
5 319 98
5 323 56
5 334 80
5 343 93
5 354 27
5 358 72
5 363 90
5 380 54
5 384 5
5 394 24
5 407 42
5 421 74
5 422 96
5 436 95
5 449 37
5 450 36
5 451 81
5 453 83
5 460 68
5 463 98
5 466 30
5 474 61
5 476 88
5 500 69
5 517 2
5 527 32
5 528 38
5 531 98
5 536 80
5 556 75
5 572 47
5 576 42
5 577 13
5 583 65
5 606 83
5 623 42
5 638 60
5 649 49
5 667 21
5 684 58
5 686 89
5 689 40
5 692 95
5 697 9
5 701 18
5 709 87
5 711 87
5 718 65
5 727 80
5 738 29
5 740 65
5 759 66
5 760 96
5 766 72
5 767 13
5 784 45
5 802 19
5 804 69
5 805 20
5 819 44
5 822 81
5 831 18
5 834 78
5 843 78
5 846 53
5 848 3
5 854 27
5 864 62
5 875 25
5 920 80
5 931 80
5 942 4
5 977 38
5 980 49
5 987 44
5 996 32
5 998 88
5 1020 37
6 25 33
6 28 30
6 35 63
6 40 67
6 55 41
6 69 16
6 74 30
6 99 63
6 109 87
6 115 39
6 117 13
6 123 13
6 133 34
6 134 75
6 137 52
6 142 45
6 152 33
6 166 59
6 179 30
6 180 34
6 181 59
6 187 38
6 193 66
6 196 54
6 209 52
6 220 13
6 224 81
6 236 83
6 246 25
6 248 94
6 249 36
6 253 45
6 260 86
6 273 8
6 275 7
6 292 6
6 296 52
6 300 5
6 307 94
6 316 42
6 320 33
6 323 22
6 325 88
6 332 82
6 339 31
6 348 2
6 358 72
6 387 54
6 393 47
6 395 7
6 406 47
6 408 44
6 428 85
6 457 68
6 462 59
6 475 78
6 480 83
6 490 9
6 495 66
6 501 42
6 504 21
6 532 11
6 533 87
6 538 66
6 560 93
6 570 99
6 575 56
6 589 68
6 593 66
6 619 43
6 620 83
6 627 33
6 648 7
6 649 69
6 657 91
6 661 57
6 668 1
6 671 96
6 688 61
6 697 63
6 716 83
6 718 56
6 735 67
6 741 90
6 748 29
6 752 98
6 753 81
6 757 68
6 788 63
6 792 68
6 795 94
6 796 27
6 797 17
6 799 33
6 801 69
6 829 54
6 830 72
6 837 24
6 851 98
6 858 25
6 863 98
6 867 89
6 885 87
6 890 79
6 928 83
6 942 90
6 945 40
6 948 30
6 952 1
6 972 36
6 976 49
6 991 57
6 995 80
6 1005 48
6 1011 97
6 1021 24
7 25 68
7 26 93
7 27 59
7 30 60
7 34 78
7 36 90
7 45 46
7 47 74
7 63 66
7 82 88
7 135 64
7 152 61
7 173 78
7 180 93
7 214 86
7 215 68
7 224 30
7 235 91
7 244 21
7 248 39
7 249 79
7 252 27
7 253 14
7 266 85
7 280 40
7 284 34
7 291 89
7 305 9
7 311 39
7 322 1
7 323 28
7 332 83
7 373 26
7 392 33
7 403 73
7 409 31
7 413 12
7 421 15
7 422 66
7 423 27
7 430 35
7 436 37
7 440 83
7 454 56
7 458 73
7 473 90
7 486 53
7 492 9
7 499 35
7 500 72
7 511 7
7 514 13
7 519 82
7 520 23
7 523 78
7 531 44
7 536 4
7 540 61
7 551 49
7 570 18
7 571 8
7 581 16
7 586 56
7 594 82
7 603 13
7 607 63
7 608 91
7 614 74
7 618 53
7 631 90
7 639 31
7 646 95
7 648 99
7 671 5
7 673 10
7 679 43
7 681 44
7 684 35
7 690 77
7 704 61
7 732 80
7 740 64
7 750 34
7 762 86
7 765 88
7 781 73
7 796 17
7 811 16
7 822 41
7 845 93
7 853 97
7 880 23
7 881 39
7 883 30
7 888 75
7 896 65
7 914 49
7 946 81
7 948 5
7 951 79
7 959 98
7 971 62
7 976 18
7 983 25
7 985 67
7 992 26
7 998 63
7 999 99
7 1017 45
8 12 95
8 14 13
8 15 11
8 37 16
8 41 89
8 53 35
8 54 87
8 60 9
8 70 71
8 91 65
8 101 4
8 103 44
8 109 88
8 117 71
8 118 80
8 123 37
8 128 68
8 140 39
8 147 30
8 182 34
8 205 88
8 221 65
8 226 54
8 228 34
8 232 93
8 250 23
8 256 26
8 259 83
8 272 28
8 278 76
8 282 94
8 301 81
8 303 22
8 310 31
8 314 62
8 334 82
8 346 29
8 357 66
8 369 29
8 381 81
8 395 99
8 403 67
8 405 3
8 409 36
8 415 62
8 418 95
8 428 51
8 444 41
8 454 67
8 465 49
8 471 16
8 527 29
8 529 57
8 536 71
8 542 11
8 559 2
8 560 48
8 567 37
8 568 70
8 571 47
8 580 29
8 594 43
8 595 2
8 600 7
8 604 38
8 609 97
8 618 99
