384 14707
0 5 19
0 8 21
0 9 72
0 10 84
0 11 52
0 25 7
0 26 9
0 31 50
0 44 96
0 45 5
0 49 36
0 62 88
0 64 33
0 66 98
0 68 10
0 74 71
0 82 78
0 98 94
0 103 71
0 106 22
0 112 94
0 114 57
0 131 26
0 134 78
0 153 75
0 159 32
0 163 35
0 167 53
0 174 71
0 177 47
0 183 65
0 185 99
0 187 9
0 194 40
0 196 89
0 199 28
0 204 5
0 213 64
0 217 10
0 221 71
0 222 11
0 225 83
0 226 91
0 227 19
0 233 48
0 240 76
0 243 16
0 246 61
0 252 45
0 270 98
0 286 40
0 289 91
0 294 49
0 300 58
0 301 38
0 303 22
0 315 24
0 317 55
0 348 55
0 357 39
0 362 54
0 364 99
0 366 67
0 376 43
0 379 69
1 27 19
1 31 60
1 32 25
1 34 2
1 53 20
1 58 92
1 73 32
1 79 89
1 80 86
1 84 99
1 85 40
1 90 73
1 95 68
1 96 84
1 97 6
1 98 46
1 103 57
1 104 94
1 105 26
1 108 34
1 114 61
1 115 31
1 121 76
1 123 70
1 124 2
1 125 61
1 129 67
1 133 41
1 134 94
1 147 14
1 155 60
1 156 7
1 157 37
1 161 87
1 162 17
1 163 11
1 164 31
1 171 71
1 184 16
1 185 42
1 189 20
1 190 72
1 194 61
1 197 25
1 205 17
1 206 42
1 209 91
1 216 40
1 217 62
1 221 53
1 225 11
1 226 43
1 240 20
1 244 10
1 248 63
1 256 33
1 260 89
1 263 97
1 264 62
1 265 12
1 267 60
1 276 81
1 278 86
1 280 4
1 281 2
1 283 93
1 284 3
1 285 4
1 287 69
1 296 12
1 302 97
1 319 62
1 320 78
1 323 61
1 324 28
1 328 6
1 334 93
1 340 80
1 341 78
1 356 3
1 366 35
1 367 35
1 370 8
1 377 90
1 380 76
1 383 66
2 6 80
2 12 76
2 20 91
2 34 90
2 44 33
2 50 51
2 51 95
2 58 46
2 68 18
2 71 7
2 76 55
2 79 43
2 82 86
2 84 14
2 87 91
2 89 57
2 90 14
2 100 36
2 104 44
2 107 14
2 109 4
2 117 18
2 126 58
2 134 32
2 138 97
2 140 60
2 142 94
2 143 77
2 144 75
2 165 86
2 169 76
2 172 79
2 174 31
2 175 100
2 179 5
2 181 86
2 191 73
2 194 89
2 201 12
2 217 91
2 219 50
2 222 61
2 223 17
2 235 50
2 242 35
2 248 17
2 259 81
2 272 52
2 274 98
2 276 92
2 285 64
2 291 16
2 293 5
2 313 4
2 320 5
2 325 84
2 326 72
2 332 21
2 335 3
2 343 90
2 347 92
2 351 37
2 352 22
2 355 80
2 356 67
2 361 81
2 364 14
2 367 18
3 6 45
3 7 81
3 8 66
3 16 70
3 17 80
3 21 28
3 22 89
3 26 38
3 37 50
3 46 39
3 50 91
3 60 89
3 61 56
3 64 13
3 65 90
3 73 14
3 78 24
3 81 90
3 82 18
3 89 57
3 90 32
3 101 5
3 109 62
3 116 40
3 123 18
3 150 73
3 152 47
3 155 72
3 157 1
3 160 63
3 164 19
3 165 10
3 168 15
3 174 30
3 185 89
3 191 17
3 193 97
3 195 77
3 201 64
3 208 26
3 215 25
3 222 97
3 223 61
3 226 92
3 227 88
3 235 91
3 241 77
3 243 5
3 261 43
3 262 76
3 266 7
3 269 70
3 270 82
3 271 87
3 274 74
3 276 59
3 277 26
3 280 88
3 288 38
3 298 73
3 299 77
3 300 44
3 301 90
3 319 84
3 325 16
3 341 92
3 342 100
3 351 36
3 358 93
3 364 40
3 365 81
3 371 41
4 13 82
4 27 99
4 31 57
4 32 58
4 33 34
4 35 61
