256 6528
0 1 82
0 10 21
0 11 15
0 14 57
0 15 26
0 18 17
0 28 22
0 32 21
0 35 9
0 36 92
0 38 83
0 39 59
0 46 89
0 54 46
0 65 16
0 72 91
0 73 18
0 75 40
0 77 12
0 85 15
0 87 56
0 89 88
0 91 13
0 99 19
0 100 32
0 102 2
0 109 87
0 119 56
0 125 38
0 139 62
0 140 16
0 151 24
0 152 70
0 161 37
0 165 44
0 172 23
0 173 45
0 185 20
0 187 74
0 188 4
0 213 26
0 217 5
0 218 97
0 219 58
0 222 44
0 225 65
0 228 46
0 235 76
0 241 32
0 246 84
1 4 17
1 7 49
1 10 27
1 17 66
1 20 61
1 23 71
1 25 98
1 41 20
1 57 79
1 58 19
1 61 91
1 62 5
1 63 29
1 81 10
1 91 5
1 94 70
1 96 57
1 103 72
1 104 41
1 105 54
1 107 82
1 119 79
1 124 34
1 129 75
1 131 97
1 136 68
1 140 55
1 143 94
1 148 36
1 157 81
1 165 54
1 166 37
1 167 27
1 175 81
1 184 61
1 186 81
1 195 8
1 204 37
1 210 28
1 216 80
1 217 76
1 232 76
1 237 100
1 238 59
1 240 20
1 246 57
1 247 37
1 248 57
1 249 88
1 252 24
1 253 90
1 255 57
2 24 83
2 25 80
2 27 13
2 28 16
2 32 99
2 35 85
2 36 97
2 49 89
2 53 76
2 55 24
2 64 33
2 65 51
2 66 10
2 68 3
2 74 11
2 81 57
2 98 16
2 101 36
2 107 30
2 108 29
2 112 68
2 131 61
2 134 17
2 136 65
2 138 19
2 141 85
2 143 74
2 147 5
2 148 82
2 149 15
2 153 57
2 154 78
2 161 72
2 171 33
2 175 38
2 179 97
2 184 68
2 189 100
2 197 16
2 199 35
2 201 77
2 205 87
2 206 76
2 222 16
2 223 42
2 228 66
2 232 52
2 242 79
2 245 6
2 248 56
2 253 7
2 254 99
3 22 16
3 26 52
3 27 98
3 30 33
3 36 50
3 37 60
3 40 87
3 46 96
3 51 33
3 54 12
3 55 75
3 61 69
3 62 63
3 67 36
3 71 17
3 73 51
3 80 61
3 83 90
3 85 49
3 89 82
3 95 42
3 97 98
3 99 44
3 108 2
3 133 97
3 140 49
3 141 55
3 147 10
3 156 16
3 162 11
3 163 49
3 166 40
3 168 45
3 174 52
3 176 9
3 183 35
3 186 98
3 200 6
3 204 85
3 208 68
3 209 32
3 213 68
3 222 96
3 229 15
3 232 46
3 236 96
3 240 86
3 241 7
3 246 66
3 254 91
4 7 88
4 12 48
4 14 6
4 42 18
4 49 50
4 56 33
4 57 68
4 59 71
4 63 44
4 64 31
4 65 80
4 67 9
4 69 55
4 72 98
4 75 89
4 79 61
4 81 61
4 82 20
4 87 30
4 90 67
4 91 73
4 95 41
4 99 71
4 110 44
4 112 53
4 113 3
4 126 97
4 129 21
4 132 31
4 135 1
4 140 88
4 142 42
4 144 31
4 151 70
4 161 5
4 163 46
4 169 84
4 177 97
4 182 87
4 204 99
4 207 7
4 208 27
4 229 17
4 230 50
4 231 25
4 233 72
4 235 24
4 242 18
4 249 100
4 255 82
5 12 42
5 16 33
5 21 83
5 30 8
5 32 75
5 37 61
5 42 73
5 46 59
5 49 40
5 51 6
5 54 99
5 58 10
5 59 39
5 60 53
5 61 69
5 64 44
5 71 79
5 100 39
5 110 38
5 114 46
5 123 41
5 124 67
5 134 31
5 135 30
5 136 88
5 138 69
5 144 12
5 147 16
5 148 47
5 154 81
5 157 27
5 163 66
5 176 96
5 177 16
5 178 75
5 188 85
5 194 72
5 195 73
5 198 44
5 201 39
5 204 69
5 206 88
5 209 18
5 211 27
5 216 28
