1024 158982
0 7 3
0 10 89
0 16 39
0 18 71
0 19 48
0 20 45
0 21 92
0 22 8
0 24 68
0 29 96
0 39 63
0 40 42
0 43 12
0 44 37
0 52 30
0 60 70
0 61 82
0 62 2
0 66 5
0 67 99
0 68 79
0 78 54
0 80 49
0 82 65
0 84 94
0 87 14
0 91 13
0 92 61
0 96 33
0 101 8
0 103 45
0 104 94
0 107 5
0 109 28
0 110 47
0 118 69
0 121 53
0 122 81
0 123 63
0 124 50
0 130 19
0 134 81
0 136 87
0 140 4
0 147 41
0 148 45
0 152 70
0 153 60
0 157 95
0 160 88
0 162 69
0 163 90
0 165 29
0 169 32
0 176 23
0 178 23
0 180 46
0 186 31
0 197 38
0 205 91
0 206 39
0 207 3
0 211 48
0 212 62
0 213 23
0 220 35
0 222 34
0 223 11
0 225 28
0 227 74
0 228 59
0 229 31
0 232 48
0 233 17
0 236 12
0 238 61
0 247 56
0 248 3
0 249 56
0 252 92
0 256 34
0 257 89
0 261 70
0 265 14
0 267 93
0 271 19
0 274 4
0 276 44
0 278 75
0 279 21
0 288 93
0 292 23
0 295 18
0 298 29
0 302 6
0 304 41
0 307 5
0 311 63
0 312 38
0 313 7
0 316 12
0 317 98
0 322 69
0 326 4
0 327 43
0 328 36
0 329 66
0 334 62
0 336 89
0 337 17
0 338 87
0 342 38
0 345 51
0 349 3
0 351 59
0 352 1
0 354 5
0 357 60
0 362 58
0 364 95
0 365 20
0 367 83
0 369 100
0 372 78
0 374 61
0 375 58
0 378 6
0 381 36
0 382 17
0 385 100
0 389 88
0 390 16
0 394 93
0 395 16
0 398 11
0 404 86
0 405 63
0 407 95
0 411 94
0 412 57
0 413 16
0 425 58
0 430 70
0 438 2
0 441 78
0 447 90
0 448 74
0 453 74
0 454 33
0 456 35
0 462 4
0 464 99
0 467 83
0 468 48
0 469 23
0 471 80
0 474 88
0 475 24
0 478 75
0 487 3
0 498 91
0 504 73
0 505 83
0 506 84
0 511 2
0 512 59
0 522 73
0 525 90
0 526 93
0 527 44
0 528 62
0 534 85
0 540 42
0 541 95
0 542 40
0 543 13
0 545 51
0 546 43
0 548 84
0 551 57
0 553 43
0 554 60
0 557 85
0 559 56
0 560 9
0 561 91
0 562 64
0 564 69
0 565 34
0 569 85
0 572 79
0 582 44
0 586 98
0 588 65
0 592 34
0 597 73
0 600 87
0 602 1
0 607 75
0 611 17
0 614 40
0 620 51
0 626 16
0 632 35
0 633 45
0 635 10
0 640 51
0 642 78
0 645 67
0 646 73
0 647 92
0 648 21
0 650 82
0 651 88
0 652 53
0 653 33
0 655 14
0 656 54
0 659 67
0 663 57
0 666 68
0 670 57
0 671 99
0 672 11
0 678 20
0 680 83
0 681 96
0 682 50
0 689 85
0 690 74
0 691 75
0 693 85
0 696 37
0 699 31
0 701 48
0 702 65
0 711 24
0 714 88
0 716 57
0 717 63
0 719 75
0 723 33
0 724 23
0 735 75
0 736 70
0 750 63
0 758 59
0 765 3
0 767 15
0 769 42
0 771 99
0 783 86
0 784 60
0 792 97
0 793 71
0 796 92
0 802 38
0 803 88
0 809 62
0 812 16
0 816 10
0 817 15
0 819 14
0 821 26
0 828 98
0 843 50
0 845 27
0 852 56
0 853 99
0 855 84
0 859 17
0 864 71
0 867 35
0 869 43
0 870 8
0 871 13
0 873 26
0 877 9
0 879 60
0 880 20
0 881 36
0 887 27
0 888 63
0 891 22
0 893 68
0 894 65
0 900 39
0 908 48
0 909 57
0 910 12
0 920 65
0 922 71
0 926 74
0 928 61
0 933 4
0 941 77
0 947 23
0 948 1
0 952 47
0 954 51
0 958 30
0 961 12
0 963 88
0 968 70
0 971 79
0 972 62
0 973 82
0 976 22
0 978 59
0 981 48
0 986 34
0 990 85
0 991 11
0 992 22
0 1002 69
0 1003 88
0 1004 88
0 1005 61
0 1006 81
0 1007 98
0 1009 30
0 1011 42
0 1018 82
0 1019 48
0 1022 42
1 4 73
1 11 94
1 12 11
1 14 8
1 16 68
1 18 68
1 20 15
1 22 3
1 24 81
1 29 8
1 39 22
1 40 24
1 43 67
1 46 4
1 52 88
1 55 99
1 56 87
1 59 71
1 61 6
1 65 24
1 68 6
1 71 48
1 72 95
1 74 19
1 75 44
1 76 38
1 78 87
1 91 37
1 102 93
1 103 60
1 104 84
1 106 60
1 107 1
1 110 13
1 112 92
1 114 26
1 116 47
1 117 31
1 120 100
1 122 37
1 123 38
1 125 7
1 130 10
1 131 85
1 133 7
1 134 20
1 137 65
1 140 39
1 141 57
1 144 37
1 147 69
1 148 53
1 154 11
1 157 84
1 158 14
1 159 68
1 160 32
1 163 60
1 165 65
1 166 37
1 167 66
1 168 62
1 170 45
1 171 2
1 175 66
1 176 28
1 178 90
1 180 53
1 182 67
1 186 76
1 188 55
1 198 39
1 199 33
1 200 15
1 204 39
1 207 77
1 208 12
1 210 4
1 215 4
1 216 42
1 222 77
1 223 67
1 232 38
1 237 14
1 245 100
1 250 44
1 253 89
1 256 20
1 265 12
1 267 75
1 269 1
1 271 74
1 272 99
1 274 82
1 277 38
1 281 29
1 282 23
1 285 98
1 286 36
1 294 10
1 296 47
1 299 76
1 300 74
1 301 33
1 303 56
1 316 20
1 317 10
1 318 49
1 322 94
1 330 68
1 334 18
1 335 27
1 336 34
1 337 84
