64 605
0 1 25
0 6 16
0 10 55
0 11 50
0 12 3
0 16 9
0 24 84
0 25 64
0 27 72
0 36 49
0 37 61
0 39 58
0 40 58
0 52 30
0 59 21
1 4 53
1 5 48
1 15 93
1 17 96
1 23 58
1 25 40
1 30 49
1 40 25
1 41 38
1 42 99
1 44 19
1 46 77
1 47 69
1 52 21
1 54 46
1 59 45
1 60 16
2 3 57
2 6 56
2 9 77
2 13 82
2 14 42
2 20 53
2 21 29
2 22 16
2 25 28
2 28 34
2 29 50
2 30 99
2 33 43
2 36 77
2 37 75
2 43 48
2 45 30
2 54 46
2 60 19
2 61 39
2 63 96
3 4 93
3 5 44
3 8 83
3 11 44
3 14 13
3 17 56
3 19 36
3 21 48
3 23 6
3 27 5
3 37 38
3 38 67
3 39 25
3 42 44
3 46 6
3 48 16
3 50 86
3 52 31
3 56 25
3 59 4
4 5 9
4 7 91
4 11 97
4 14 76
4 16 7
4 22 31
4 26 34
4 38 12
4 40 90
4 42 77
4 45 89
4 51 62
4 52 87
4 53 93
4 56 5
4 60 40
5 10 71
5 11 90
5 12 8
5 18 46
5 19 25
5 21 51
5 26 47
5 29 30
5 31 26
5 32 43
5 40 26
5 42 83
5 53 70
5 54 40
5 58 61
5 61 80
5 62 33
6 7 50
6 9 61
6 15 9
6 16 14
6 21 15
6 26 88
6 27 85
6 28 8
6 34 56
6 38 75
6 40 39
6 42 61
6 44 90
6 46 3
6 49 93
6 53 78
6 55 13
6 58 69
6 63 83
7 9 77
7 10 95
7 16 56
7 21 98
7 24 39
7 40 2
7 49 70
7 53 76
7 56 8
7 58 37
7 60 99
8 10 98
8 18 67
8 19 22
8 20 41
8 21 32
8 28 85
8 29 33
8 32 38
8 34 61
8 40 95
8 43 3
8 45 94
8 48 88
8 54 40
8 56 19
8 58 18
9 14 86
9 17 69
9 22 17
9 24 85
9 26 7
9 29 24
9 32 97
9 36 77
9 38 27
9 43 51
9 44 13
9 46 64
9 47 72
9 48 85
